Node Number	x	y	z	Deformation
55872	-0.5	0	0	-2.54E-05
55873	-0.333	0	3.76E-16	-9.18E-06
55874	-0.166	0	3.84E-16	-7.45E-07
55879	0	0	0	0.00E+00
55880	0.166	0	4.00E-16	-7.04E-06
55881	0.333	0	4.08E-16	-2.18E-05
55882	0.5	0	0	-4.43E-05
55883	0.166	3.476	4.00E-16	-7.12E-06
55884	0.166	6.882	4.00E-16	-7.36E-06
55885	0.166	10.22	4.00E-16	-7.76E-06
55886	0.166	13.49	4.00E-16	-8.31E-06
55887	0.166	16.695	4.00E-16	-9.00E-06
55888	0.166	19.834	4.00E-16	-9.81E-06
55889	0.166	22.911	4.00E-16	-1.07E-05
55890	0.166	25.926	4.00E-16	-1.17E-05
55891	0.166	28.879	4.00E-16	-1.28E-05
55892	0.166	31.774	4.00E-16	-1.39E-05
55893	0.166	34.61	4.00E-16	-1.50E-05
55894	0.166	37.389	4.00E-16	-1.63E-05
55895	0.166	40.112	4.00E-16	-1.76E-05
55896	0.166	42.78	4.00E-16	-1.88E-05
55897	0.166	45.394	4.00E-16	-2.00E-05
55898	0.166	47.956	4.00E-16	-2.13E-05
55899	0.166	50.466	4.00E-16	-2.25E-05
55900	0.166	52.925	4.00E-16	-2.37E-05
55901	0.166	55.335	4.00E-16	-2.49E-05
55902	0.166	57.696	4.00E-16	-2.61E-05
55903	0.166	60.01	4.00E-16	-2.71E-05
55904	0.166	62.277	4.00E-16	-2.82E-05
55905	0.166	64.499	4.00E-16	-2.92E-05
55906	0.166	66.676	4.00E-16	-3.01E-05
55907	0.166	68.808	4.00E-16	-3.09E-05
55908	0.166	70.898	4.00E-16	-3.16E-05
55909	0.166	72.946	4.00E-16	-3.22E-05
55910	0.166	74.953	4.00E-16	-3.27E-05
55911	0.166	76.919	4.00E-16	-3.30E-05
55912	0.166	78.845	4.00E-16	-3.33E-05
55913	0.166	80.733	4.00E-16	-3.34E-05
55914	0.166	82.583	4.00E-16	-3.33E-05
55915	0.166	84.395	4.00E-16	-3.32E-05
55916	0.166	86.171	4.00E-16	-3.29E-05
